Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-03-08,94.25,95.150002,93.849998,94.800003,94.800003,160500,870
2017-03-09,94.699997,95.75,94.300003,95.150002,95.150002,128900,871
2017-03-10,95.849998,96.400002,95.199997,96.300003,96.300003,148600,872
2017-03-13,96.150002,96.5,94.900002,95.599998,95.599998,87300,873
2017-03-14,95.300003,95.980003,95.050003,95.25,95.25,84600,874
2017-03-15,95.550003,96.849998,94.120003,96.300003,96.300003,127400,875
2017-03-16,96.349998,96.400002,95,95.300003,95.300003,82400,876
2017-03-17,94.900002,97.099998,94.800003,96.699997,96.699997,388600,877
2017-03-20,96.550003,96.550003,94.529999,95,95,82400,878
2017-03-21,95.5,95.599998,93.449997,93.599998,93.599998,101100,879
2017-03-22,93.400002,93.650002,92.400002,92.849998,92.849998,119800,880
2017-03-23,92.75,94.25,91.550003,93.550003,93.550003,96800,881
2017-03-24,93.699997,94.419998,93.550003,93.949997,93.949997,118700,882
2017-03-27,92.650002,93.800003,92.650002,93.699997,93.699997,118300,883
2017-03-28,93.25,94.5,92.300003,94.050003,94.050003,98200,884
2017-03-29,93.699997,94.300003,93.5,93.699997,93.699997,68600,885
2017-03-30,93.800003,94.650002,93.550003,94.199997,94.199997,127700,886
2017-03-31,94.25,94.599998,93.849998,94.199997,94.199997,129600,887
2017-04-03,94.199997,94.25,93.349998,93.449997,93.449997,118800,888
2017-04-04,93.349998,93.43,91.599998,91.949997,91.949997,122000,889
2017-04-05,92.300003,92.400002,90.349998,90.650002,90.650002,157800,890
2017-04-06,90.650002,91.199997,90.099998,90.5,90.5,155200,891
2017-04-07,90.449997,91,89.400002,89.800003,89.800003,174800,892
2017-04-10,89.900002,91.650002,89.690002,91.650002,91.650002,173700,893
2017-04-11,91.449997,91.779999,90.599998,91.25,91.25,209200,894
2017-04-12,91,91.75,90.300003,90.900002,90.900002,92900,895
2017-04-13,90.75,91.449997,90.5,90.550003,90.550003,81800,896
2017-04-17,90.75,91.150002,90.550003,91.099998,91.099998,95700,897
2017-04-18,90.849998,91.349998,90.300003,91.199997,91.199997,89900,898
2017-04-19,91.349998,93.449997,90.650002,93.050003,93.050003,175900,899
2017-04-20,93.400002,94.349998,91.730003,94.199997,94.199997,136500,900
2017-04-21,93.849998,94.900002,91.849998,94.650002,94.650002,160200,901
2017-04-24,95.849998,96.25,95.300003,95.75,95.75,159500,902
2017-04-25,96.199997,97.550003,95.949997,96.75,96.75,144900,903
2017-04-26,96.75,97.949997,96.75,96.949997,96.949997,163000,904
2017-04-27,97,97.449997,96.349998,96.5,96.5,174300,905
2017-04-28,96.550003,96.599998,93.349998,94,94,243700,906
2017-05-01,94,94.75,93.75,94.400002,94.400002,89200,907
2017-05-02,94.099998,94.790001,93.599998,93.699997,93.699997,120000,908
2017-05-03,93.400002,93.650002,91.900002,92.150002,92.150002,128100,909
2017-05-04,92.400002,94,92.400002,93.949997,93.949997,92600,910
2017-05-05,94.099998,94.849998,93.599998,94.75,94.75,92700,911
2017-05-08,94.75,95.150002,91.519997,94.550003,94.550003,120200,912
2017-05-09,94.849998,95.150002,94,94.900002,94.900002,90600,913
2017-05-10,94.599998,95.5,94.199997,95.199997,95.199997,75300,914
2017-05-11,94.900002,95.099998,93.849998,93.900002,93.900002,87800,915
2017-05-12,93.75,93.75,91.550003,91.949997,91.949997,84800,916
2017-05-15,92.699997,96.650002,92.599998,95.550003,95.550003,201100,917
2017-05-16,95.400002,95.550003,94.949997,95.050003,95.050003,78900,918
2017-05-17,94.25,94.300003,92.300003,92.300003,92.300003,115800,919
2017-05-18,90.650002,91.949997,90.050003,90.449997,90.449997,165900,920
2017-05-19,90.300003,91,89.699997,90.25,90.25,182800,921
